year,y,x_Estonia,x_Czechia,x_Slovenia,x_Poland,x_Hungary,x_Slovakia,x_Latvia,x_Lithuania,x_Malta,x_Cyprus,x_Bulgaria,x_Romania
1990,8.804752038483516,9.450242592378837,10.221042615571369,10.078171769364548,9.247028327328188,9.653985198840271,9.977013052913453,9.813377036158121,9.695898805652448,9.803255627339537,10.122795037259934,9.62611135180397,9.072516484258307
1991,8.820596984806967,9.548293923536436,10.04513390704047,9.94423107481521,9.188398536120445,9.543291389125915,9.747554275201079,9.720634273846388,9.560455027935186,9.86075354241872,10.091487628055141,9.678375290972424,9.0009341434795
1992,8.749798404936579,9.272571783935339,10.009008848503138,9.88871024341595,9.248313435222936,9.558962563823677,9.676194285693748,9.387846575135447,9.38902925414841,9.872942578209617,10.165224158546115,9.510025304041164,8.91594734403391
1993,8.742593203385471,9.254324154300656,10.031497706348793,9.951469087566602,9.313796230898848,9.606134904248833,9.674914805551643,9.335420171137978,9.224063888697328,9.895897689299826,10.132076884022366,9.431400486348092,8.97321645562857
1994,8.7787494882576,9.239571602730624,10.070521938065008,10.018324497985446,9.382777317965413,9.664293996575072,9.723344989764932,9.214462642699216,9.188630590813633,9.946556881620639,10.182299965271808,9.427456528171383,9.050882234808574
1995,8.817635285679604,9.346914149867757,10.109441928671341,10.07838796506334,9.468995977316746,9.705914391105457,9.770673562433068,9.182641427780055,9.234083665547754,9.98903348869683,10.233092435414225,9.36232930588107,9.10413062779678
1996,8.824234226732921,9.410124911011433,10.158427206604838,10.11452696109854,9.533923511882236,9.736618340054868,9.780298509993179,9.180360990135654,9.304795460165714,9.986947465004492,10.225826275675294,9.305358209951752,9.145021369921587
1997,8.841588490434281,9.490566879494619,10.137000943856629,10.142148702618188,9.59116894183925,9.767667740685184,9.798919981964064,9.241958090545543,9.389513602093096,10.078987553469199,10.232919203228109,9.072691134607167,9.098422320628126
1998,8.88653394188096,9.530566473357515,10.132393842680756,10.157269730726368,9.643572653201735,9.794362120470536,9.792321562575749,9.33348867728595,9.460280857612885,10.13479595072195,10.277750831428762,9.239137614016224,9.077459112244863
1999,8.975384418295203,9.547180491646516,10.12651844191782,10.190753415621526,9.692532095464859,9.826489043585243,9.755731399919984,9.400878262231075,9.489977972001586,10.202192659795504,10.322633062239309,9.210347115864973,9.084432275724014
2000,9.042291700889331,9.625132768175815,10.14326574339064,10.20735628088529,9.715551911562683,9.86777773983177,9.791108184319564,9.440762399213575,9.552447935119948,10.248412136347582,10.379443420033343,9.265231478556828,9.104869766719135
2001,9.080017656486284,9.68029485852043,10.197310209999191,10.231784058209882,9.738640773874824,9.969057335926706,9.836713199084503,9.509519824277294,9.630032368163018,10.236680360833438,10.425615703059607,9.302232414585973,9.193961548741594
2002,9.082962656025472,9.752737727838328,10.204578517899385,10.259950306452756,9.766630431929128,10.022071051821309,9.876972306166094,9.591174524607712,9.699815043389362,10.264316104841308,10.426292354714962,9.368535283718433,9.246496910318601
2003,9.11899176120397,9.8135839155678,10.230611545645651,10.270389393555984,9.762205737040182,10.024088113019417,9.903450876884659,9.621104390040006,9.784824223412267,10.265717221066998,10.409836725861231,9.394906799335544,9.241809459663722
2004,9.146508519089446,9.89980952224895,10.276811928898772,10.333512516364681,9.81752564857876,10.04643126200408,9.946555031801,9.685957178018644,9.832699457478965,10.267424595218667,10.467353604561493,9.44899194136633,9.367340945485314
2005,9.224415691923705,9.986441332295986,10.296494434070812,10.352834822143533,9.832761284161325,10.05651906563479,10.00211852076051,9.765973213933917,9.886811129515614,10.26530857876891,10.499429195693917,9.474878745442018,9.40394691777744
2006,9.277982588995403,10.098139235230308,10.350943838650563,10.400226349076437,9.891046097630419,10.102284950614262,10.10052580721224,9.876539629068969,9.971327717243463,10.283561462662663,10.554219844983177,9.565581350946413,9.54788536230818
2007,9.363381204906519,10.23228041837444,10.440239427208313,10.466548323288725,9.988113481039292,10.136622721846306,10.234610467898767,10.023569943170196,10.101073740583498,10.341137810407183,10.608027623253369,9.688056159751175,9.721488866172
2008,9.439426045824703,10.240748444329785,10.433955875570218,10.50793545718079,10.02918240867556,10.178587174201517,10.308962207544441,10.060662767202091,10.153611943795635,10.39398335501523,10.679287947871696,9.774462410756895,9.880516681168523
2009,9.504077181646736,10.1366825156923,10.435159383673826,10.432357279441947,10.094762536728142,10.189321975067156,10.28754880857975,9.94976291130683,10.036884041716045,10.419185180443964,10.660505681721396,9.811976972109486,9.888361982459243
2010,9.537757100109834,10.179318342016952,10.441309005896274,10.42966291122725,10.154508778341658,10.225649140445958,10.343778432773297,9.975633095446023,10.108789310954293,10.482328089949947,10.65855937780684,9.844976374594156,9.907853042998262
2011,9.540637941183329,10.330325739494063,10.48988967582429,10.469320525918148,10.240611304884608,10.25235322206144,10.38703811128758,10.059247438336469,10.247865702878153,10.471720182956004,10.585098783822755,9.848426193442805,9.98608127826295
2012,9.567253012772518,10.385040861230625,10.489289100036464,10.451817209393031,10.26296104029042,10.252528314701312,10.407505947643173,10.122967399016611,10.320228591566417,10.514889831669555,10.54757276696158,9.864821599337487,10.032889648573635
2013,9.59212537760962,10.391925923428568,10.488907383060049,10.447563607661259,10.255948107525045,10.265059440761334,10.38468119317242,10.14059557531139,10.346541208784988,10.53966112960966,10.433063334606247,9.837622430776293,10.006583775261394
2014,9.648777080637064,10.428272326752476,10.533459140481389,10.4606732200559,10.270828498618489,10.29576500523,10.412867363806502,10.176583721033529,10.375316251147488,10.584309515387634,10.408106649587708,9.870509711761347,10.040506522597786
